WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
389.65,125.4115654658822,0,0,0.0,0,0.0,
389.65,119.14889683508356,0,0,0.0,0,0.0,
389.65,119.77794711882773,0,0,0.0,0,0.0,
392.34,121.88516914377384,0,0,0.0,0,0.0,
391.91,139.23241378331815,0,0,0.0,0,0.0,
389.27,133.12382095033172,0,0,0.0,0,0.0,
387.6,171.919491538994,0,0,0.0,1,0.0,
388.2,125.43237370475578,1,0,432.98269044457356,0,3329.8269044457356,1.0831212892281594
387.72,126.24402520332934,0,0,0.0,0,3329.8269044457356,1.0831212892281594
389.23,132.37165702859514,0,0,0.0,0,3329.8269044457356,1.0831212892281594
391.93,130.23492664303464,0,0,0.0,0,3329.8269044457356,1.0831212892281594
391.33,121.7290700949272,0,0,0.0,0,3329.8269044457356,1.0831212892281594
391.65,143.0750445182236,0,0,0.0,0,3329.8269044457356,1.0831212892281594
391.76,110.6836784417407,0,0,0.0,0,3329.8269044457356,1.0831212892281594
388.6,128.47160270026663,0,0,0.0,0,3329.8269044457356,1.0831212892281594
388.84,147.04351844799368,0,0,0.0,0,3329.8269044457356,1.0831212892281594
388.35,140.08424318128323,0,0,0.0,0,3329.8269044457356,1.0831212892281594
388.4,153.9828641273603,0,0,0.0,0,3329.8269044457356,1.0831212892281594
390.2,159.3985588950638,0,0,0.0,0,3329.8269044457356,1.0831212892281594
387.81,168.9985193334421,0,0,0.0,0,3329.8269044457356,1.0831212892281594
387.18,171.34474356174846,0,1,0.0,0,0.0,1.0831212892281594
387.34,161.37834387670694,0,0,0.0,0,0.0,1.0831212892281594
388.7,173.9612046230128,0,0,0.0,0,0.0,1.0831212892281594
387.62,168.0169380950424,0,0,0.0,0,0.0,1.0831212892281594
388.17,166.3213932090931,0,0,0.0,0,0.0,1.0831212892281594
386.62,159.11379752700552,0,0,0.0,0,0.0,1.0831212892281594
388.4,154.39834561689588,0,0,0.0,0,0.0,1.0831212892281594
387.15,169.33716137006175,0,0,0.0,0,0.0,1.0831212892281594
386.6,176.15196426133457,0,0,0.0,0,0.0,1.0831212892281594
385.0,176.9139502252773,0,0,0.0,2,0.0,1.0831212892281594
385.51,181.08140954698868,2,0,743.3510444555835,0,5433.5104445558345,1.0829805249788316
382.8,187.02953788557724,0,0,0.0,0,5433.5104445558345,1.0829805249788316
385.53,184.33281194293542,0,0,0.0,0,5433.5104445558345,1.0829805249788316
381.58,193.87348005127527,0,0,0.0,0,5433.5104445558345,1.0829805249788316
381.93,228.8446950627688,0,0,0.0,0,5433.5104445558345,1.0829805249788316
382.03,218.06210445155958,0,0,0.0,0,5433.5104445558345,1.0829805249788316
383.73,224.60808486745142,0,0,0.0,0,5433.5104445558345,1.0829805249788316
381.64,265.8240199723697,0,0,0.0,0,5433.5104445558345,1.0829805249788316
383.35,211.346663630591,0,0,0.0,0,5433.5104445558345,1.0829805249788316
387.72,237.53767232629795,0,0,0.0,0,5433.5104445558345,1.0829805249788316
386.43,235.0951954328615,0,0,0.0,0,5433.5104445558345,1.0829805249788316
386.09,244.28438530973264,0,0,0.0,0,5433.5104445558345,1.0829805249788316
384.17,226.70782708490793,0,0,0.0,0,5433.5104445558345,1.0829805249788316
383.61,220.22970464747218,0,0,0.0,0,5433.5104445558345,1.0829805249788316
382.0,226.50692540222923,0,2,0.0,0,0.0,1.0829805249788316
379.18,217.2779662240736,0,0,0.0,0,0.0,1.0829805249788316
379.44,212.13354715233362,0,0,0.0,0,0.0,1.0829805249788316
381.06,220.81184549754417,0,0,0.0,0,0.0,1.0829805249788316
377.4,224.58665526867057,0,0,0.0,0,0.0,1.0829805249788316
378.58,229.4676885235506,0,0,0.0,0,0.0,1.0829805249788316
375.75,209.7450731697353,0,0,0.0,0,0.0,1.0829805249788316
377.01,235.55000601465738,0,0,0.0,0,0.0,1.0829805249788316
376.87,230.31819750672116,0,0,0.0,0,0.0,1.0829805249788316
372.52,244.95564968723224,0,0,0.0,0,0.0,1.0829805249788316
371.92,245.87731809089672,0,0,0.0,0,0.0,1.0829805249788316
372.15,245.5919009667289,0,0,0.0,0,0.0,1.0829805249788316
373.9,304.8366806819974,0,0,0.0,0,0.0,1.0829805249788316
375.02,259.107592614329,0,0,0.0,0,0.0,1.0829805249788316
371.55,273.096071534894,0,0,0.0,0,0.0,1.0829805249788316
367.03,285.843401047046,0,0,0.0,0,0.0,1.0829805249788316
367.11,314.5906218639491,0,0,0.0,0,0.0,1.0829805249788316
368.26,300.0109530885956,0,0,0.0,0,0.0,1.0829805249788316
366.39,297.7511714905273,0,0,0.0,0,0.0,1.0829805249788316
366.93,309.9096369729722,0,0,0.0,0,0.0,1.0829805249788316
368.92,306.8627143718246,0,0,0.0,0,0.0,1.0829805249788316
