WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
2232.47,19.907811321950444,0,0,0.0,0,0.0,
2221.05,16.381223169472033,0,0,0.0,0,0.0,
2223.55,15.748117608290936,0,0,0.0,0,0.0,
2227.17,15.730818642238438,0,0,0.0,0,0.0,
2223.84,12.800961632917414,0,0,0.0,0,0.0,
2236.5,14.172028060580917,0,0,0.0,0,0.0,
2226.43,14.729187942777985,0,0,0.0,0,0.0,
2220.0,14.578358554319637,0,0,0.0,0,0.0,
2217.49,16.247191798378587,0,0,0.0,0,0.0,
2206.0,14.297190105776426,0,0,0.0,1,0.0,
2207.17,14.900813385261047,1,0,519.6667853961324,0,19666.785396132396,1.0960784313725491
2205.74,17.38886445748034,0,0,0.0,0,19666.785396132396,1.0960784313725491
2215.44,17.155820699971965,0,0,0.0,0,19666.785396132396,1.0960784313725491
2203.86,17.918058577710056,0,0,0.0,0,19666.785396132396,1.0960784313725491
2195.0,17.370341137229442,0,0,0.0,0,19666.785396132396,1.0960784313725491
2187.63,16.58954163394744,0,0,0.0,0,19666.785396132396,1.0960784313725491
2177.34,10.587842404303567,0,0,0.0,0,19666.785396132396,1.0960784313725491
2189.27,15.76646175317519,0,1,0.0,0,0.0,1.0960784313725491
2179.96,19.04250240958398,0,0,0.0,0,0.0,1.0960784313725491
2181.74,20.0596914739479,0,0,0.0,0,0.0,1.0960784313725491
2175.42,18.2112328335339,0,0,0.0,0,0.0,1.0960784313725491
2166.65,21.73454873058949,0,0,0.0,0,0.0,1.0960784313725491
2159.04,20.544395825307173,0,0,0.0,2,0.0,1.0960784313725491
2155.56,23.727221949593496,2,0,1038.1702045252696,0,38170.20452526961,1.095890410958904
2126.31,29.98933298754653,0,0,0.0,1,38170.20452526961,1.095890410958904
2105.77,30.07121900803422,1,0,665.6447796235205,1,203814.98414879016,1.0957966764418376
2099.52,38.825204072464906,1,0,657.0567757060131,0,360871.75985480327,1.095703125
2081.17,39.13416870351573,0,0,0.0,0,360871.75985480327,1.095703125
2097.33,52.99140779930709,0,0,0.0,0,360871.75985480327,1.095703125
2121.82,44.84884769314961,0,0,0.0,0,360871.75985480327,1.095703125
2118.21,47.53163288333111,0,0,0.0,0,360871.75985480327,1.095703125
2101.47,46.790274046095,0,0,0.0,0,360871.75985480327,1.095703125
2105.15,29.61598444091987,0,0,0.0,0,360871.75985480327,1.095703125
2116.6,26.5638863666671,0,0,0.0,0,360871.75985480327,1.095703125
2124.51,23.074029351788553,0,0,0.0,0,360871.75985480327,1.095703125
2129.55,20.79315566718751,0,0,0.0,0,360871.75985480327,1.095703125
2144.38,25.366604946005623,0,0,0.0,0,360871.75985480327,1.095703125
